Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Mean
1,Petroleum Engineering,Bachelors,98100.0,212100.0,60.0
2,Operations Research & Industrial Engineering,Bachelors,101200.0,202600.0,21.0
3,Electrical Engineering & Computer Science (EECS),Bachelors,128500.0,192300.0,45.0
4,Interaction Design,Bachelors,77400.0,178800.0,55.0
5,Building Science,Bachelors,71100.0,172400.0,46.0
6,Applied Economics and Management,Bachelors,81200.0,169300.0,47.0
7,Actuarial Mathematics,Bachelors,71200.0,167500.0,48.0
8,Optical Science & Engineering,Bachelors,81500.0,166400.0,73.0
9,Quantitative Economics,Bachelors,78400.0,165100.0,43.0
10,Operations Research,Bachelors,94900.0,164900.0,56.0
11,Systems Engineering,Bachelors,89700.0,163800.0,57.0
12,Information & Computer Science,Bachelors,73200.0,162900.0,65.0
13,Public Accounting,Bachelors,71500.0,162200.0,47.0
14,Cognitive Science,Bachelors,80300.0,162100.0,43.0
15,Aeronautics & Astronautics,Bachelors,89800.0,161600.0,60.0
17,Pharmacy,Bachelors,71500.0,158000.0,80.0
18,Managerial Economics,Bachelors,78200.0,157800.0,38.0
19,Foreign Affairs,Bachelors,65200.0,157700.0,32.0
20,Political Economy,Bachelors,75800.0,156700.0,30.0
21,Chemical Engineering,Bachelors,87700.0,156100.0,54.0
23,Computer Science (CS) & Engineering,Bachelors,93500.0,154100.0,44.0
25,Computer Engineering (CE),Bachelors,92000.0,153800.0,46.0
26,Electrical Power Engineering,Bachelors,87200.0,152700.0,71.0
27,Marine Engineering,Bachelors,89400.0,151800.0,54.0
28,Electrical & Computer Engineering (ECE),Bachelors,91100.0,151300.0,48.0
29,Econometrics,Bachelors,74200.0,150900.0,35.0
30,Actuarial Science,Bachelors,78500.0,150000.0,41.0
30,Astronomy,Bachelors,77000.0,150000.0,52.0
32,Mechatronics,Bachelors,83300.0,148600.0,46.0
33,Computational & Applied Mathematics,Bachelors,88200.0,148200.0,46.0
33,Construction Engineering Management,Bachelors,81700.0,148200.0,52.0
35,Aeronautical Engineering,Bachelors,86500.0,147200.0,64.0
35,Electrical Engineering (EE),Bachelors,87500.0,147200.0,53.0
37,Naval Architecture & Marine Engineering,Bachelors,85300.0,147000.0,51.0
38,Instrumentation & Control Engineering,Bachelors,83800.0,146600.0,45.0
38,Ocean Engineering (OE),Bachelors,80300.0,146600.0,49.0
40,Electrical & Electronics Engineering (EEE),Bachelors,86300.0,146400.0,56.0
41,Quantitative Business Analysis,Bachelors,86300.0,145000.0,36.0
42,Computer Science (CS) & Mathematics,Bachelors,82800.0,144900.0,46.0
43,Engineering Physics,Bachelors,80900.0,144500.0,49.0
45,Computer Science (CS),Bachelors,88400.0,143900.0,42.0
46,Jazz Studies,Bachelors,63800.0,143600.0,52.0
47,Aeronautical/Aerospace Engineering Technology,Bachelors,84500.0,142500.0,48.0
48,Bioengineering (BioE),Bachelors,81900.0,142100.0,66.0
49,Management Science,Bachelors,75500.0,141900.0,42.0
50,Aerospace Engineering,Bachelors,85900.0,141800.0,53.0
51,Information Management,Bachelors,71000.0,141400.0,35.0
52,Metallurgical Engineering,Bachelors,93200.0,141300.0,64.0
53,Applied Mathematics,Bachelors,79900.0,141100.0,40.0
53,Operations Management & Information Systems,Bachelors,78400.0,141100.0,41.0
55,Chemical & Biomolecular Engineering,Bachelors,88300.0,140900.0,52.0
56,Mechanical & Aeronautical Engineering,Bachelors,84200.0,140600.0,63.0
58,Engineering,Bachelors,80000.0,140000.0,58.0
59,Energy Management,Bachelors,69700.0,139900.0,70.0
60,Industrial & Systems Engineering,Bachelors,84500.0,139600.0,48.0
61,Materials Science & Engineering,Bachelors,83700.0,139300.0,46.0
62,Biomedical Engineering (BME),Bachelors,83000.0,139000.0,71.0
64,Mining Engineering,Bachelors,87400.0,138600.0,57.0
65,Engineering Science,Bachelors,79300.0,138500.0,48.0
65,Industrial Hygiene,Bachelors,66700.0,138500.0,55.0
65,Nuclear Engineering,Bachelors,86900.0,138500.0,57.0
68,Paper Science,Bachelors,87400.0,138000.0,43.0
69,Industrial Engineering (IE),Bachelors,83000.0,137800.0,44.0
70,Robotics & Automation,Bachelors,74700.0,137700.0,68.0
70,Physics,Bachelors,77900.0,137700.0,49.0
72,Integrated Science & Technology,Bachelors,73700.0,137300.0,54.0
73,Business Analysis,Bachelors,73100.0,137000.0,47.0
74,Business & Economics,Bachelors,69000.0,136700.0,43.0
74,Economics and Mathematics,Bachelors,79800.0,136700.0,38.0
76,Software Engineering,Bachelors,86800.0,136600.0,45.0
77,Computer & Information Science,Bachelors,78500.0,135600.0,57.0
78,Global & International Studies,Bachelors,62300.0,135100.0,55.0
79,Entrepreneurship & Marketing,Bachelors,66100.0,134800.0,48.0
80,International Economics,Bachelors,66200.0,134500.0,53.0
80,Materials Engineering,Bachelors,83700.0,134500.0,59.0
82,Economics,Bachelors,72900.0,134200.0,41.0
82,Environmental Health & Safety Management,Bachelors,69500.0,134200.0,60.0
84,Interactive Media Design,Bachelors,62400.0,134100.0,33.0
85,Mechanical Engineering (ME),Bachelors,82000.0,133700.0,49.0
85,Packaging Science,Bachelors,80700.0,133700.0,41.0
87,Management Information Systems (MIS),Bachelors,76300.0,133400.0,43.0
88,Structural Engineering (SE),Bachelors,79000.0,133200.0,67.0
90,Telecommunications Engineering,Bachelors,81400.0,132800.0,53.0
