Major,Early Career Pay,Mid-Career Pay,Spread
Petroleum Engineering,98100.0,212100.0,114000.0
Interaction Design,77400.0,178800.0,101400.0
Operations Research & Industrial Engineering,101200.0,202600.0,101400.0
Building Science,71100.0,172400.0,101300.0
Actuarial Mathematics,71200.0,167500.0,96300.0
Foreign Affairs,65200.0,157700.0,92500.0
Public Accounting,71500.0,162200.0,90700.0
Information & Computer Science,73200.0,162900.0,89700.0
Applied Economics and Management,81200.0,169300.0,88100.0
Quantitative Economics,78400.0,165100.0,86700.0
Pharmacy,71500.0,158000.0,86500.0
Optical Science & Engineering,81500.0,166400.0,84900.0
Cognitive Science,80300.0,162100.0,81800.0
Political Economy,75800.0,156700.0,80900.0
Jazz Studies,63800.0,143600.0,79800.0
Managerial Economics,78200.0,157800.0,79600.0
Econometrics,74200.0,150900.0,76700.0
Systems Engineering,89700.0,163800.0,74100.0
Astronomy,77000.0,150000.0,73000.0
Global & International Studies,62300.0,135100.0,72800.0
Asian Studies,54800.0,127500.0,72700.0
Industrial Hygiene,66700.0,138500.0,71800.0
Aeronautics & Astronautics,89800.0,161600.0,71800.0
Interactive Media Design,62400.0,134100.0,71700.0
Actuarial Science,78500.0,150000.0,71500.0
Information Management,71000.0,141400.0,70400.0
Energy Management,69700.0,139900.0,70200.0
Operations Research,94900.0,164900.0,70000.0
Entrepreneurship & Marketing,66100.0,134800.0,68700.0
Chemical Engineering,87700.0,156100.0,68400.0
International Economics,66200.0,134500.0,68300.0
Psychobiology,60500.0,128600.0,68100.0
Business & Economics,69000.0,136700.0,67700.0
Russian Studies,57900.0,125200.0,67300.0
Construction Engineering Management,81700.0,148200.0,66500.0
Management Science,75500.0,141900.0,66400.0
Ocean Engineering (OE),80300.0,146600.0,66300.0
Political Communication,59300.0,125500.0,66200.0
Electrical Power Engineering,87200.0,152700.0,65500.0
Mechatronics,83300.0,148600.0,65300.0
Marketing & International Business,62100.0,127200.0,65100.0
Environmental Health & Safety Management,69500.0,134200.0,64700.0
Business Analysis,73100.0,137000.0,63900.0
Electrical Engineering & Computer Science (EECS),128500.0,192300.0,63800.0
Engineering Physics,80900.0,144500.0,63600.0
Integrated Science & Technology,73700.0,137300.0,63600.0
Robotics & Automation,74700.0,137700.0,63000.0
Biochemistry & Molecular Biology,64000.0,127000.0,63000.0
Instrumentation & Control Engineering,83800.0,146600.0,62800.0
Operations Management & Information Systems,78400.0,141100.0,62700.0
Marine Engineering,89400.0,151800.0,62400.0
Computer Science (CS) & Mathematics,82800.0,144900.0,62100.0
Computer Engineering (CE),92000.0,153800.0,61800.0
Naval Architecture & Marine Engineering,85300.0,147000.0,61700.0
Government,65800.0,127400.0,61600.0
Economics,72900.0,134200.0,61300.0
Applied Mathematics,79900.0,141100.0,61200.0
Construction Project Management,71500.0,132500.0,61000.0
Aeronautical Engineering,86500.0,147200.0,60700.0
Computer Science (CS) & Engineering,93500.0,154100.0,60600.0
Aeronautical Science,64900.0,125300.0,60400.0
East Asian Studies,60100.0,120400.0,60300.0
Bioengineering (BioE),81900.0,142100.0,60200.0
Electrical & Computer Engineering (ECE),91100.0,151300.0,60200.0
Electrical & Electronics Engineering (EEE),86300.0,146400.0,60100.0
Engineering,80000.0,140000.0,60000.0
Computational & Applied Mathematics,88200.0,148200.0,60000.0
Agricultural Economics,62400.0,122400.0,60000.0
Physics,77900.0,137700.0,59800.0
Electrical Engineering (EE),87500.0,147200.0,59700.0
Economics & Political Science,66100.0,125600.0,59500.0
Engineering Science,79300.0,138500.0,59200.0
European Studies,62700.0,121600.0,58900.0
Quantitative Business Analysis,86300.0,145000.0,58700.0
